baseline_measyear,browse_code,conditions,physical_plots
2011,missing,22,21
2012,2,5,5
2012,3,2,2
2012,4,1,1
2012,missing,102,99
2013,2,9,8
2013,3,16,16
2013,missing,133,130
2014,2,1,1
2014,3,3,3
2014,missing,123,121
2015,2,11,11
2015,3,5,5
2015,missing,125,124
2016,2,9,9
2016,3,2,2
2016,missing,111,109
2017,2,7,6
2017,3,1,1
2017,4,1,1
2017,missing,99,98
2018,1,1,1
2018,2,13,12
2018,3,3,3
2018,missing,117,114
