model,observations,losses,counties,folds,slopes,brier_score,roc_auc,calibration_intercept,calibration_slope,top_quartile_n,top_quartile_losses,top_quartile_capture_fraction,cutoff_tied_n,cutoff_tied_selected_n,tie_neutral_expected_losses,brier_difference_vs_strong,auc_difference_vs_strong,extra_top_quartile_losses_vs_strong,interpretation,brier_difference_direction,top_quartile_note
Prevalence benchmark,677,75,49,5,0,0.09907172046887955,NA,NA,NA,169,14,0.18666666666666668,136,33,13.911764705882353,0.016540799578536727,NA,-39,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
Starting density only,677,75,49,5,1,0.08536402072160515,0.8298892580287929,-0.005070146876943402,0.9504875911886569,169,51,0.68,3,1,51.333333333333336,0.0028330998312623284,-0.014817275747508352,-2,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
Starting abundance and observation,677,75,49,5,3,0.08253092089034282,0.8447065337763012,-0.007474325700248306,0.9147864305611475,169,53,0.7066666666666667,1,1,53,0,0,0,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
Beech hypothesis,677,75,49,5,7,0.08150807951949682,0.8556810631229236,-0.0029198168565697934,0.8816640198292481,169,55,0.7333333333333333,1,1,55,-0.0010228413708460032,0.010974529346622353,2,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
Maple structure and total nonmaple,677,75,49,5,6,0.08322097821112355,0.8455813953488373,-0.009688005108513805,0.8685104252679446,169,53,0.7066666666666667,1,1,53,6.900573207807292e-4,8.748615725360231e-4,0,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
Maple structure and total nonmaple plus beech,677,75,49,5,7,0.08150952970161915,0.8556810631229236,-0.00203301835877588,0.8811982290420496,169,55,0.7333333333333333,1,1,55,-0.001021391188723672,0.010974529346622353,2,Exploratory reuse of existing county folds; not independent validation or model selection,Negative favors the named model over the strong benchmark,Matched floor(n/4) capacity; ties broken by fixed source row order; not a treatment threshold
