state,statecd,source_url,retrieved_at_utc,status,archive_path,database_path,archive_member,archive_bytes,database_bytes,archive_sha256,database_sha256,sqlite_quick_check,error_message,attempted_at_utc
WI,55,https://apps.fs.usda.gov/fia/datamart/Databases/SQLite_FIADB_WI.zip,NA,acquisition_incomplete,NA,NA,NA,NA,NA,NA,NA,NA,Archive download failed (curl 52): curl: (52) Empty reply from server | curl: (52) Empty reply from server | curl: (52) Empty reply from server,2026-09-09 19:01:42 UTC
MN,27,https://apps.fs.usda.gov/fia/datamart/Databases/SQLite_FIADB_MN.zip,NA,acquisition_incomplete,NA,NA,NA,NA,NA,NA,NA,NA,Archive download failed (curl 52): curl: (52) Empty reply from server | curl: (52) Empty reply from server | curl: (52) Empty reply from server,2026-09-09 19:01:42 UTC
