model,reference,brier_difference,brier_difference_lower,brier_difference_upper,auc_difference,auc_difference_lower,auc_difference_upper,resamples,cluster,seed,uncertainty_scope,difference_direction
Starting density only,Starting abundance and observation,0.0028330998312623263,-0.0016271841685241552,0.007433786533318901,-0.014817275747508352,-0.038001788943425395,0.0010715781287389111,2000,county,20260907,Percentile intervals conditional on existing fitted folds; no refitting or selection uncertainty,Negative Brier or positive AUC favors the named model over reference
Beech hypothesis,Starting abundance and observation,-0.0010228413708460102,-0.005846289406270614,0.004749678466665409,0.010974529346622353,-0.01258780893610744,0.03074821956520923,2000,county,20260907,Percentile intervals conditional on existing fitted folds; no refitting or selection uncertainty,Negative Brier or positive AUC favors the named model over reference
Maple structure and total nonmaple,Starting abundance and observation,6.900573207807335e-4,-0.0026555848413008427,0.004703592352087196,8.748615725360231e-4,-0.01807423075577251,0.015902347062850552,2000,county,20260907,Percentile intervals conditional on existing fitted folds; no refitting or selection uncertainty,Negative Brier or positive AUC favors the named model over reference
Maple structure and total nonmaple plus beech,Starting abundance and observation,-0.0010213911887236807,-0.005891840515811827,0.004783251155670856,0.010974529346622353,-0.012643105903585633,0.030769808541191844,2000,county,20260907,Percentile intervals conditional on existing fitted folds; no refitting or selection uncertainty,Negative Brier or positive AUC favors the named model over reference
Maple structure and total nonmaple plus beech,Maple structure and total nonmaple,-0.001711448509504415,-0.0049445234418295765,0.0018759626217936865,0.01009966777408633,-0.001469051799040208,0.021094250463384045,2000,county,20260907,Percentile intervals conditional on existing fitted folds; no refitting or selection uncertainty,Negative Brier or positive AUC favors the named model over reference
