table,rows,present
PLOT,84617,TRUE
COND,98346,TRUE
TREE,1719586,TRUE
SEEDLING,198300,TRUE
SUBP_COND,229508,TRUE
SURVEY,47,TRUE
REF_SPECIES,2697,TRUE
REF_FOREST_TYPE,207,TRUE
POP_EVAL,127,TRUE
POP_EVAL_TYP,216,TRUE
POP_PLOT_STRATUM_ASSGN,751686,TRUE
POP_STRATUM,12175,TRUE
