baseline_measyear,conditions,physical_plots,counties,january_visits_shifted,first_required_season,last_required_season,conditions_with_all_report_years
2011,22,21,8,0,2008,2010,22
2012,110,107,27,10,2008,2011,110
2013,158,154,37,9,2009,2012,158
2014,127,125,32,2,2010,2013,127
2015,141,140,38,3,2011,2014,141
2016,122,120,34,5,2012,2015,122
2017,108,106,38,5,2013,2016,108
2018,134,130,31,2,2014,2017,134
