join,left_rows,right_rows,result_rows,left_unique_keys,right_unique_keys,unmatched_left_keys
conditions -> tree metrics,1457,1427,1457,1457,1427,30
conditions -> regeneration metrics,1457,1457,1457,1457,1457,0
