statuscd,reconcilecd,stage,trees
1,1,At least 5 inches,621
1,1,Below 5 inches,171
1,3,At least 5 inches,1
1,7,At least 5 inches,5
1,7,Below 5 inches,2
1,9,At least 5 inches,2
2,1,At least 5 inches,1
2,1,Below 5 inches,1
2,4,Below 5 inches,3
2,8,Below 5 inches,11
