geoid,county_name,sample_n,gap_n,gap_denominator,estimate,conf_low,conf_high,map_supported,mapped_gap_fraction
26001,Alcona,16,1,16,0.0625,0.01111905730833121,0.2832926836802987,FALSE,NA
26003,Alger,96,7,93,0.07526881720430108,0.03693621408501647,0.14729866018389276,TRUE,0.07526881720430108
26005,Allegan,6,0,4,0,0,0.48990002040399916,FALSE,NA
26007,Alpena,2,1,2,0.5,0.09452865480086614,0.9054713451991339,FALSE,NA
26009,Antrim,18,2,17,0.11764705882352941,0.03287908001292092,0.3433684249770991,FALSE,NA
26011,Arenac,1,0,1,0,0,0.7934567085261071,FALSE,NA
26013,Baraga,68,3,68,0.04411764705882353,0.0151163456535321,0.12187392182380694,TRUE,0.04411764705882353
26015,Barry,8,0,8,0,0,0.3244156195108769,FALSE,NA
26017,Bay,1,0,1,0,0,0.7934567085261071,FALSE,NA
26019,Benzie,19,3,19,0.15789473684210525,0.055203710399278266,0.3756592764317668,FALSE,NA
26021,Berrien,7,1,7,0.14285714285714285,0.02567895594897479,0.51313450331903,FALSE,NA
26023,Branch,3,0,2,0,0,0.6576280471103807,FALSE,NA
26025,Calhoun,7,0,6,0,0,0.3903430336530645,FALSE,NA
