term,source,transformation,center,scale,constant_in_training,positive_weight_rows,training_weight,scaling_scope,fold,population
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.6740716101680153,0.8688641383483738,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_coverage,baseline_micrprop_unadj,identity,0.914551252788104,0.19784227738137275,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_interval,interval_years,identity,6.9716542750929404,0.4551978238258038,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.6966298240466,1.3112419782283198,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.5972484284964885,2.4934397406310196,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.679208883460897,0.90048499064833,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_coverage,baseline_micrprop_unadj,identity,0.9189720390334574,0.19509258493328724,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,4,Baseline seedlings detected
z_interval,interval_years,identity,6.985285006195791,0.46195839308328274,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,4,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.7452574519224062,1.3215431707721703,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,4,Baseline seedlings detected
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.6744890032565842,2.4847842403072193,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,4,Baseline seedlings detected
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.687617000345851,0.8601496791686848,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,4,Baseline seedlings detected
z_coverage,baseline_micrprop_unadj,identity,0.9152983903345724,0.20010367777243854,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,5,Baseline seedlings detected
z_interval,interval_years,identity,6.950743494423793,0.4595982654168671,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,5,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.6922476155640607,1.3409799567388576,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,5,Baseline seedlings detected
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.6637362155976385,2.4768368567881787,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,5,Baseline seedlings detected
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.6673085525933633,0.8893403773197722,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,5,Baseline seedlings detected
