screen,conditions,physical_plots,counties,events,event_plots,new_saplings,standard_seedling_detections
RI maple at least one foot,71,69,27,14,14,30,71
No RI maple tally on verified frame,9,8,5,0,0,0,0
RI maple only below one foot,10,10,9,0,0,0,0
