risk_quartile,conditions,appearances,persistent_non_detections,observed_appearance_fraction,mean_predicted_probability,minimum_predicted_probability,maximum_predicted_probability,model,outcome_name,note
Quartile 1,64,10,54,0.15625,0.13233487983732306,0.059849365657297676,0.16264176002329636,Maple stage and observation,seedling_detection_appearance,"Quartiles use geographically held-out appearance probabilities; descriptive opportunity stratification, not an intervention threshold"
Quartile 2,64,13,51,0.203125,0.1952035490709208,0.1630408102269602,0.22367054239842973,Maple stage and observation,seedling_detection_appearance,"Quartiles use geographically held-out appearance probabilities; descriptive opportunity stratification, not an intervention threshold"
Quartile 3,64,21,43,0.328125,0.25038734746015817,0.22416626182480992,0.2938210298261295,Maple stage and observation,seedling_detection_appearance,"Quartiles use geographically held-out appearance probabilities; descriptive opportunity stratification, not an intervention threshold"
Quartile 4,63,15,48,0.23809523809523808,0.3445403639993686,0.2939002264152927,0.39999481064503417,Maple stage and observation,seedling_detection_appearance,"Quartiles use geographically held-out appearance probabilities; descriptive opportunity stratification, not an intervention threshold"
