screen,conditions,physical_plots,counties,events,event_plots,new_saplings,standard_seedling_detections
"Potential development: follow-up before 2023, no test plots",53,52,26,10,10,25,42
Potential later-year assessment: follow-up 2023 onward,37,35,18,4,4,5,29
