model,added_after,observations,slopes,log_likelihood,aic,brier_score,roc_auc,likelihood_ratio_chisq,likelihood_ratio_df,likelihood_ratio_p_value,role,prediction_target,delta_aic
Prevalence benchmark,NA,255,0,-137.93702161577954,277.8740432315591,0.17783929257977701,0.5,NA,NA,NA,Reference prediction from the overall appearance prevalence,Follow-up seedling detection among conditions with no baseline sugar-maple seedling detection,0.6884704000651141
Observation design,Prevalence benchmark,255,2,-135.59278641574699,277.18557283149397,0.17457991899857422,0.5943877551020408,4.688470400065114,2,0.09592053410613942,Adds baseline sampling opportunity and elapsed time,Follow-up seedling detection among conditions with no baseline sugar-maple seedling detection,0
Maple stage and observation,Observation design,255,4,-133.89457141212608,277.78914282425217,0.1729878430640156,0.6181252161881702,3.396430007241804,2,0.18300990468915693,Secondary appearance model; adds baseline sugar-maple stage structure,Follow-up seedling detection among conditions with no baseline sugar-maple seedling detection,0.6035699927581959
