model_variable,source_variable,transformation,center,scale,observations,scaling_population
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,6.973138192866481,1.4632843249003316,677,final complete baseline-detected model cohort
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.6704005571843075,0.8815688449494437,677,final complete baseline-detected model cohort
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.1830713007242225,0.5446821001926966,677,final complete baseline-detected model cohort
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.7988378071087294,1.0765555831291282,677,final complete baseline-detected model cohort
z_microplot_coverage,baseline_microplot_coverage,identity,0.9154145864106352,0.19921135210596796,677,final complete baseline-detected model cohort
z_interval_years,interval_years,identity,6.982520925652388,0.4616743885635772,677,final complete baseline-detected model cohort
