model,reference,metric,lower,upper,difference,comparison_scope,difference_direction,resamples_requested,resamples_succeeded,seed,uncertainty_scope,population
Seedling count and design,Observation design,top_no_new_tally_fraction,-0.20758183926500767,-0.07549667300380233,-0.11739130434782608,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Seedling count and design,Observation design,top_recruitment_fraction,0.07549667300380229,0.2075818392650076,0.11739130434782608,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,average_precision,-0.012950166545441372,0.07857400674116327,0.032507885837821104,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,brier_score,-0.0055137920010095995,0.003334851589499974,-0.0015893063647092892,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,log_loss,-0.019275601870750995,0.008152506608683876,-0.006514195311669413,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,roc_auc,-0.017821275908793198,0.04662574526644197,0.011267482517482441,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,top_event_capture_fraction,-0.10416021671826625,0.10662766924125393,-0.010000000000000009,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,top_events,-9,11.524999999999977,-1,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,top_no_new_tally_fraction,-0.06864754098360652,0.056105870020964344,0.005952380952380931,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,Seedling count and design,top_recruitment_fraction,-0.056105870020964364,0.06864754098360643,-0.005952380952380987,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,average_precision,0.03373666597629425,0.151701387261286,0.0772185000956043,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,brier_score,-0.010755723478849039,0.002072126790842381,-0.00641275477221373,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,log_loss,-0.05262829564879211,-0.0068896195035952805,-0.03044195423621593,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,roc_auc,0.08517370266655275,0.295521500928401,0.15632867132867134,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,top_event_capture_fraction,0.037112462006079046,0.32399436090225553,0.18,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,top_events,3,34,18,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,top_no_new_tally_fraction,-0.2094992498124531,-0.022200114087032242,-0.1071428571428571,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,Observation design,top_recruitment_fraction,0.02220011408703211,0.2094992498124531,0.10714285714285715,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
