model,observations,events,event_fraction,brier_score,log_loss,roc_auc,average_precision,calibration_intercept,calibration_slope,mean_predicted_probability,observed_expected_ratio,top_capacity,top_events,top_recruitment_fraction,top_no_new_tally_fraction,top_event_capture_fraction,cutoff_tied_weight,cutoff_tied_selected_weight,tie_neutral_expected_top_events,train_conditions,train_events,train_counties,test_counties,unseen_test_counties,physical_plots_shared,cutoff_year,design,population
Prevalence,375,41,0.10933333333333334,0.09738172314335491,0.34513045374175144,NA,NA,NA,NA,0.10786106032906698,1.0136497175141306,93,10,0.10752688172043011,0.8924731182795699,0.24390243902439024,375,93,10.168,547,59,55,49,11,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,All eligible pairs
Observation design,375,41,0.10933333333333334,0.09655327999797042,0.339539051235708,0.5742295896012852,0.17066065861613755,-0.49763965984811254,0.7241338651742457,0.10159958282689709,1.076119904149733,93,13,0.13978494623655913,0.8602150537634409,0.3170731707317073,25,10,12.6,547,59,55,49,11,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,All eligible pairs
Seedling count and design,375,41,0.10933333333333334,0.08759498478305516,0.28904545112032454,0.8025777712866949,0.26880299820365106,0.12023709733224398,0.9910981901691629,0.09825355899365733,1.112767155237514,93,23,0.24731182795698925,0.7526881720430108,0.5609756097560976,1,1,23,547,59,55,49,11,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,All eligible pairs
Maple stages and design,375,41,0.10933333333333334,0.08535935690477764,0.28390985480504644,0.8069227398860815,0.3457562235457966,0.10085147399192677,0.9571538898062881,0.09542037279660205,1.145807023479023,93,25,0.26881720430107525,0.7311827956989247,0.6097560975609756,1,1,25,547,59,55,49,11,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,All eligible pairs
Prevalence,275,41,0.14909090909090908,0.12686303677858696,0.4211298270756952,NA,NA,NA,NA,0.1486146095717877,1.0032049306625626,68,10,0.14705882352941177,0.8529411764705882,0.24390243902439024,275,68,10.138181818181819,397,59,41,36,8,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,Baseline seedlings detected
Observation design,275,41,0.14909090909090908,0.12705148922467593,0.42182815828618797,0.5219407963310402,0.1995498463886396,-0.9162110220929635,0.4543422645608033,0.1430973421116802,1.0418845444002112,68,13,0.19117647058823528,0.8088235294117647,0.3170731707317073,22,5,11.909090909090908,397,59,41,36,8,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,Baseline seedlings detected
Seedling count and design,275,41,0.14909090909090908,0.11889390839615932,0.3871293555774094,0.7157077340004169,0.2710936783189382,0.02915034228642521,0.9469979978908422,0.13588538047472346,1.0971813786740807,68,19,0.27941176470588236,0.7205882352941176,0.4634146341463415,1,1,19,397,59,41,36,8,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,Baseline seedlings detected
Maple stages and design,275,41,0.14909090909090908,0.11639938105159568,0.381820989251169,0.72055451323744,0.3489901559772867,-0.027915073156423147,0.8882072175052825,0.13206033502819475,1.1289605547273398,68,19,0.27941176470588236,0.7205882352941176,0.4634146341463415,1,1,19,397,59,41,36,8,0,2023,Train follow-up years before 2023; test 2023 onward; retrospective explored-snapshot transport check,Baseline seedlings detected
