term,estimate,std.error,statistic,p.value,conf.low,conf.high,label,interpretation,inference_method,maple_effect_note
z_nonmaple_ba,1.248463546109346,0.08013818339704694,2.769137292040119,0.005620494568600826,1.0669943519537546,1.460796135527696,Non-maple basal area,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_microplot_coverage,0.6389808319940135,0.07257404250080236,-6.171363844435759,6.770341965799599e-10,0.5542589229634531,0.736653009522562,Microplot condition coverage,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_stand_age,0.980456908708365,0.08061203960331167,-0.2448341797549053,0.8065848275590517,0.8371656851083235,1.148274191039708,Stand age,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
disturbedTRUE,1.2357288922804892,0.16434121635877047,1.2879361419543947,0.19776819312941557,0.8954383777539875,1.7053388967390222,Recorded disturbance,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_mean_temp,1.8521812108526277,0.12829543157034232,4.8042550691461745,1.5532871335792772e-6,1.440383722734575,2.3817092512837785,Mean annual temperature,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_precip,0.7701654400529662,0.12761342308912663,-2.0464142695935537,0.04071562931378413,0.599734846945416,0.9890284149287795,Annual precipitation,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_year,0.9307067214430838,0.06873711799099602,-1.0447203489628094,0.2961522371371278,0.813399141010465,1.0649322794504763,Measurement year,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
