maple_sapling_present,observations,no_seedlings,seedlings_detected,no_seedling_fraction,denominator_note
FALSE,503,230,273,0.4572564612326044,conditions with demonstrated seedling sampling and at least one live sugar-maple tree at least 5 inches DBH
TRUE,569,103,466,0.18101933216168717,conditions with demonstrated seedling sampling and at least one live sugar-maple tree at least 5 inches DBH
