LENGTH_CLASS_CD,SEEDLING_SOURCE_CD,maple_records,recorded_maple_count
1,1,662,13197
1,2,2,3
2,1,568,5679
2,2,2,2
3,1,495,4472
3,2,11,19
4,1,207,964
4,2,4,4
5,1,178,654
5,2,11,11
6,1,125,340
6,2,3,3
