inventory_year,plot_regen_records,plot_visits
2012,98,98
2013,100,100
2014,73,73
2015,67,67
2016,80,80
2017,75,75
2018,69,69
2019,68,68
2020,74,74
2021,72,72
2022,66,66
2023,76,76
2024,74,74
2025,68,68
