observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,population,assessment
375,334,0.8906666666666667,0.1,37,0.09866666666666667,32.95466666666667,4.045333333333332,0.8906666666666667,0.09866666666666667,32.95466666666667,0,NA,NA,0,37,0,375,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0,100,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0,100,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.1,37,0.09866666666666667,35.52980132450331,1.4701986754966896,0.9602649006622517,0.1063766506721656,32.95466666666667,2.5751346578366423,37,35,31,37,-0,151,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,37,37,37,-0.01450058214016886,4,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0.0071862114906573364,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.25,93,0.248,82.832,10.168000000000006,0.8906666666666666,0.24799999999999997,82.832,0,NA,NA,52,93,0,375,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0,100,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0,100,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.25,93,0.248,89.30463576158941,3.6953642384105905,0.9602649006622517,0.26737914898679466,82.832,6.472635761589416,89,89,87,93,-0,151,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,2023 onward temporal test; realized interval
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0.01988853886397149,5,5,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,2023 onward temporal test; realized interval
